date,value
2015-03-29,3489199.0
2015-03-30,3792338.0
2015-03-31,3799367.0
2015-04-01,3878931.0
2015-04-02,3895444.0
2015-04-03,3917458.0
2015-04-04,3701865.0
2015-04-05,3077103.0
2015-04-06,3396784.0
2015-04-07,3955773.0
2015-04-08,3933520.0
2015-04-09,3934117.0
2015-04-10,3841726.0
2015-04-11,3757337.0
2015-04-12,3471838.0
2015-04-13,3794991.0
2015-04-14,3886747.0
2015-04-15,3883621.0
2015-04-16,3858169.0
2015-04-17,3720202.0
2015-04-18,3618044.0
2015-04-19,3593077.0
2015-04-20,3694081.0
2015-04-21,3785960.0
2015-04-22,3822967.0
2015-04-23,3907020.0
2015-04-24,3854392.0
2015-04-25,3801188.0
2015-04-26,3606876.0
2015-04-27,3827721.0
2015-04-28,3922143.0
2015-04-29,3903749.0
2015-04-30,3807190.0
2015-05-01,2893128.0
2015-05-02,2988003.0
2015-05-03,3501631.0
2015-05-04,3785149.0
2015-05-05,3908821.0
2015-05-06,3920908.0
2015-05-07,3900211.0
2015-05-08,3893473.0
2015-05-09,3756578.0
2015-05-10,3488394.0
2015-05-11,3768083.0
2015-05-12,3833756.0
2015-05-13,3944756.0
2015-05-14,4113033.0
2015-05-15,3925658.0
2015-05-16,3753444.0
2015-05-17,3545599.0
2015-05-18,3747294.0
2015-05-19,3901643.0
2015-05-20,3878744.0
2015-05-21,3834144.0
2015-05-22,3873964.0
2015-05-23,3857605.0
2015-05-24,3658025.0
2015-05-25,3894369.0
2015-05-26,3932831.0
2015-05-27,3943848.0
2015-05-28,3980124.0
2015-05-29,3919808.0
2015-05-30,3660404.0
2015-05-31,3409681.0
2015-06-01,3678089.0
2015-06-02,3766456.0
2015-06-03,3715689.0
2015-06-04,3717902.0
2015-06-05,3712017.0
2015-06-06,3748581.0
2015-06-07,3505473.0
2015-06-08,3804096.0
2015-06-09,3931900.0
2015-06-10,4026655.0
2015-06-11,4029529.0
2015-06-12,4045499.0
2015-06-13,3981977.0
2015-06-14,3786507.0
2015-06-15,4025300.0
2015-06-16,3880740.0
2015-06-17,3732340.0
2015-06-18,3780395.0
2015-06-19,3900360.0
2015-06-20,3292730.0
2015-06-21,3416254.0
2015-06-22,3724890.0
2015-06-23,3752153.0
2015-06-24,3883363.0
2015-06-25,4029993.0
2015-06-26,3961676.0
2015-06-27,3732567.0
2015-06-28,3459483.0
2015-06-29,3775745.0
2015-06-30,3911804.0
2015-07-01,2692957.0
2015-07-02,3642866.0
2015-07-03,4044005.0
2015-07-04,3826577.0
2015-07-05,3552897.0
2015-07-06,3797661.0
2015-07-07,3198852.0
2015-07-08,3812753.0
2015-07-09,3959028.0
2015-07-10,4067013.0
2015-07-11,3851053.0
2015-07-12,3511131.0
2015-07-13,4034339.0
2015-07-14,3550189.0
2015-07-15,4018448.0
2015-07-16,4248386.0
2015-07-17,4095465.0
2015-07-18,3950332.0
2015-07-19,3765951.0
2015-07-20,4112606.0
2015-07-21,4276542.0
2015-07-22,4102868.0
2015-07-23,4145418.0
2015-07-24,4212612.0
2015-07-25,4039046.0
2015-07-26,3788798.0
2015-07-27,4257147.0
2015-07-28,4350289.0
2015-07-29,4326839.0
2015-07-30,4295408.0
2015-07-31,4225719.0
2015-08-01,3679973.0
2015-08-02,3513088.0
2015-08-03,4109362.0
2015-08-04,4249464.0
2015-08-05,4287459.0
2015-08-06,4402083.0
2015-08-07,4369295.0
2015-08-08,4161898.0
2015-08-09,3787603.0
2015-08-10,4041268.0
2015-08-11,3903333.0
2015-08-12,4085366.0
2015-08-13,4168955.0
2015-08-14,4214550.0
2015-08-15,4047430.0
2015-08-16,3817657.0
2015-08-17,4155488.0
2015-08-18,4015123.0
2015-08-19,3948699.0
2015-08-20,3869580.0
2015-08-21,3343687.0
2015-08-22,3858150.0
2015-08-23,3624080.0
2015-08-24,3761623.0
2015-08-25,3909831.0
2015-08-26,4011378.0
2015-08-27,4029224.0
2015-08-28,3487881.0
2015-08-29,3867982.0
2015-08-30,3811394.0
2015-08-31,4109812.0
2015-09-01,4066668.0
2015-09-02,3925296.0
2015-09-03,3177614.0
2015-09-04,3566662.0
2015-09-05,3757287.0
2015-09-06,3841049.0
2015-09-07,4018482.0
2015-09-08,3691852.0
2015-09-09,3918906.0
2015-09-10,3929441.0
2015-09-11,3927760.0
2015-09-12,3633339.0
2015-09-13,3447496.0
2015-09-14,3713833.0
2015-09-15,3832844.0
2015-09-16,3749554.0
2015-09-17,3946919.0
2015-09-18,3975839.0
2015-09-19,3820881.0
2015-09-20,3608137.0
2015-09-21,3957586.0
2015-09-22,4039707.0
2015-09-23,4017043.0
2015-09-24,4037352.0
2015-09-25,4040154.0
2015-09-26,3497499.0
2015-09-27,3356801.0
2015-09-28,3873351.0
2015-09-29,4000522.0
2015-09-30,4542797.0
2015-10-01,2841489.0
2015-10-02,2776441.0
2015-10-03,2754225.0
2015-10-04,3016281.0
2015-10-05,3443517.0
2015-10-06,3629157.0
2015-10-07,3669034.0
2015-10-08,4002839.0
2015-10-09,3773217.0
2015-10-10,3718483.0
2015-10-11,3236485.0
2015-10-12,3676439.0
2015-10-13,3708587.0
2015-10-14,3748435.0
2015-10-15,3538810.0
2015-10-16,3807975.0
2015-10-17,3802147.0
2015-10-18,3521948.0
2015-10-19,3719963.0
2015-10-20,3608500.0
2015-10-21,3926344.0
2015-10-22,3926220.0
2015-10-23,3914699.0
2015-10-24,3945502.0
2015-10-25,3512930.0
2015-10-26,3750753.0
2015-10-27,3929170.0
2015-10-28,3838921.0
2015-10-29,3915735.0
2015-10-30,3840502.0
2015-10-31,3232390.0
2015-11-01,3443912.0
2015-11-02,3599595.0
2015-11-03,3797195.0
2015-11-04,3903614.0
2015-11-05,3920772.0
2015-11-06,3910196.0
2015-11-07,3819933.0
2015-11-08,3500779.0
2015-11-09,3382794.0
2015-11-10,3347273.0
2015-11-11,3452265.0
2015-11-12,3407477.0
2015-11-13,3528801.0
2015-11-14,3377359.0
2015-11-15,3377554.0
2015-11-16,3697464.0
2015-11-17,3862200.0
2015-11-18,3854823.0
2015-11-19,3913774.0
2015-11-20,3903341.0
2015-11-21,3820628.0
2015-11-22,3198310.0
2015-11-23,3939268.0
2015-11-24,4025841.0
2015-11-25,3608402.0
2015-11-26,4160858.0
2015-11-27,4169118.0
2015-11-28,3927863.0
2015-11-29,3566745.0
2015-11-30,3782338.0
2015-12-01,3876643.0
2015-12-02,3998786.0
2015-12-03,4030378.0
2015-12-04,3872078.0
2015-12-05,3701451.0
2015-12-06,3723541.0
2015-12-07,3983834.0
2015-12-08,4140712.0
2015-12-09,4068916.0
2015-12-10,4232933.0
2015-12-11,4208018.0
2015-12-12,4001223.0
2015-12-13,3856921.0
2015-12-14,4117837.0
2015-12-15,3315516.0
2015-12-16,4269798.0
2015-12-17,4317405.0
2015-12-18,4348796.0
2015-12-19,4117298.0
2015-12-20,3969676.0
2015-12-21,4170567.0
2015-12-22,3869879.0
2015-12-23,4167805.0
2015-12-24,4320650.0
2015-12-25,4294518.0
2015-12-26,3874950.0
2015-12-27,3905750.0
2015-12-28,4105261.0
2015-12-29,4255276.0
2015-12-30,4170536.0
2015-12-31,4020591.0
2016-01-01,3232705.0
2016-01-02,3400311.0
2016-01-03,3641332.0
2016-01-04,4010378.0
2016-01-05,4114238.0
2016-01-06,4228910.0
2016-01-07,4271151.0
2016-01-08,4064567.0
2016-01-09,4063805.0
2016-01-10,3631998.0
2016-01-11,4219307.0
2016-01-12,4335493.0
2016-01-13,3567044.0
2016-01-14,4188494.0
2016-01-15,3459120.0
2016-01-16,3825385.0
2016-01-17,3356428.0
2016-01-18,3964754.0
2016-01-19,3967388.0
2016-01-20,4014577.0
2016-01-21,4179388.0
2016-01-22,3869181.0
2016-01-23,3857605.0
2016-01-24,3418767.0
2016-01-25,3577731.0
2016-01-26,3529651.0
2016-01-27,3796580.0
2016-01-28,3828398.0
2016-01-29,3817281.0
2016-01-30,3585530.0
2016-01-31,3474602.0
2016-02-01,3577546.0
2016-02-02,3400726.0
2016-02-03,3164092.0
2016-02-04,2985701.0
2016-02-05,2769694.0
2016-02-06,2651179.0
2016-02-07,2400941.0
2016-02-08,2328935.0
2016-02-09,2367668.0
2016-02-10,2360456.0
2016-02-11,2390654.0
2016-02-12,2456605.0
2016-02-13,2519542.0
2016-02-14,2629206.0
2016-02-15,2932628.0
2016-02-16,3138577.0
2016-02-17,3211835.0
2016-02-18,3327845.0
2016-02-19,3534671.0
2016-02-20,3457037.0
2016-02-21,3353382.0
2016-02-22,3740474.0
2016-02-23,3752948.0
2016-02-24,3817079.0
2016-02-25,3821269.0
2016-02-26,3778753.0
2016-02-27,3621678.0
2016-02-28,3427752.0
2016-02-29,3830666.0
2016-03-01,3990461.0
2016-03-02,4052463.0
2016-03-03,4077052.0
2016-03-04,4047478.0
2016-03-05,3862328.0
2016-03-06,3680144.0
2016-03-07,4082510.0
2016-03-08,4128456.0
2016-03-09,4266444.0
2016-03-10,4034056.0
2016-03-11,4187860.0
2016-03-12,3971600.0
2016-03-13,3671423.0
2016-03-14,4040799.0
2016-03-15,4126436.0
2016-03-16,3999919.0
2016-03-17,3960902.0
2016-03-18,4028738.0
2016-03-19,3890087.0
2016-03-20,3590345.0
2016-03-21,3903985.0
2016-03-22,4615207.0
2016-03-23,4049102.0
2016-03-24,4080274.0
2016-03-25,4024048.0
2016-03-26,3911950.0
2016-03-27,3684076.0
2016-03-28,3969515.0
2016-03-29,4026603.0
2016-03-30,4007978.0
2016-03-31,4019892.0
2016-04-01,4003527.0
2016-04-02,4017529.0
2016-04-03,3732506.0
2016-04-04,3216632.0
2016-04-05,3710743.0
2016-04-06,4068945.0
2016-04-07,3995555.0
2016-04-08,4036804.0
2016-04-09,3995427.0
2016-04-10,3713744.0
2016-04-11,3902557.0
2016-04-12,3994915.0
2016-04-13,4030816.0
2016-04-14,4053163.0
2016-04-15,4044319.0
2016-04-16,3962151.0
2016-04-17,3720344.0
2016-04-18,3830146.0
2016-04-19,3853482.0
2016-04-20,3601084.0
2016-04-21,3938636.0
2016-04-22,3975591.0
2016-04-23,4130359.0
2016-04-24,3779401.0
2016-04-25,3992619.0
2016-04-26,4096040.0
2016-04-27,3938562.0
2016-04-28,3950044.0
2016-04-29,3956025.0
2016-04-30,3675404.0
2016-05-01,3127033.0
2016-05-02,3471769.0
2016-05-03,3686262.0
2016-05-04,3904758.0
2016-05-05,4076967.0
2016-05-06,4110685.0
2016-05-07,4001702.0
2016-05-08,3626796.0
2016-05-09,4004587.0
2016-05-10,3977966.0
2016-05-11,4015503.0
2016-05-12,4132899.0
2016-05-13,4108075.0
2016-05-14,3989503.0
2016-05-15,3756678.0
2016-05-16,3952351.0
2016-05-17,3949708.0
2016-05-18,3901864.0
2016-05-19,3913280.0
2016-05-20,3963967.0
2016-05-21,3890195.0
2016-05-22,3640372.0
2016-05-23,3969389.0
2016-05-24,4043578.0
2016-05-25,4096819.0
2016-05-26,4219737.0
2016-05-27,4113139.0
2016-05-28,4009038.0
2016-05-29,3789849.0
2016-05-30,3872713.0
2016-05-31,4014739.0
2016-06-01,3988022.0
2016-06-02,3968795.0
2016-06-03,4041719.0
2016-06-04,3874204.0
2016-06-05,3692647.0
2016-06-06,4008633.0
2016-06-07,4162818.0
2016-06-08,4055291.0
2016-06-09,3548896.0
2016-06-10,3762722.0
2016-06-11,3902134.0
2016-06-12,3974914.0
2016-06-13,4169418.0
2016-06-14,4264932.0
2016-06-15,4334099.0
2016-06-16,4163197.0
2016-06-17,4301308.0
2016-06-18,4234259.0
2016-06-19,4047065.0
2016-06-20,4155898.0
2016-06-21,4371422.0
2016-06-22,4418030.0
2016-06-23,4536418.0
2016-06-24,4447924.0
2016-06-25,4087964.0
2016-06-26,3885732.0
2016-06-27,4128141.0
2016-06-28,4207413.0
2016-06-29,4747110.0
2016-06-30,4905574.0
2016-07-01,4335777.0
2016-07-02,4079363.0
2016-07-03,3840101.0
2016-07-04,4071327.0
2016-07-05,4161432.0
2016-07-06,4104851.0
2016-07-07,4498741.0
2016-07-08,4554365.0
2016-07-09,4333160.0
2016-07-10,4074906.0
2016-07-11,4441372.0
2016-07-12,4525375.0
2016-07-13,4481143.0
2016-07-14,4538956.0
2016-07-15,4634383.0
2016-07-16,4220289.0
2016-07-17,4107215.0
2016-07-18,4550893.0
2016-07-19,4677268.0
2016-07-20,4772549.0
2016-07-21,4750962.0
2016-07-22,4754751.0
2016-07-23,4637393.0
2016-07-24,4311960.0
2016-07-25,4809396.0
2016-07-26,4852473.0
2016-07-27,4737322.0
2016-07-28,4790575.0
2016-07-29,4788141.0
2016-07-30,4514944.0
2016-07-31,4259280.0
2016-08-01,4627029.0
2016-08-02,4618467.0
2016-08-03,4490739.0
2016-08-04,4367727.0
2016-08-05,4253298.0
2016-08-06,4023140.0
2016-08-07,3663205.0
2016-08-08,3689233.0
2016-08-09,3679212.0
2016-08-10,3994246.0
2016-08-11,4061157.0
2016-08-12,4127489.0
2016-08-13,4043540.0
2016-08-14,3744055.0
2016-08-15,4222039.0
2016-08-16,4603302.0
2016-08-17,4200728.0
2016-08-18,4454857.0
2016-08-19,4517220.0
2016-08-20,4141047.0
2016-08-21,3873626.0
2016-08-22,4285132.0
2016-08-23,4200526.0
2016-08-24,4151262.0
2016-08-25,4194893.0
2016-08-26,4018774.0
2016-08-27,3610828.0
2016-08-28,3446470.0
2016-08-29,3681879.0
2016-08-30,3607667.0
2016-08-31,3664003.0
